,yields
409,8.723467378405877e-06
410,1.0000000001099898
411,9.190383931889134e-05
412,0.9997288611585352
413,0.9993830148864847
414,6.639250898423773e-06
415,0.0007777376942335314
416,0.16664625822318915
417,1.0000000000000828
418,0.0001929463158138406
419,0.195777269522087
420,0.9996587977376474
421,1.8567305250101058e-05
422,1.0000000000006515
423,2.6220245727142265e-06
424,1.000000003242261
425,1.0000000000007936
426,4.345642770226656e-05
427,0.9999999999999408
428,0.9426571027503517
429,1.562461365018e-06
430,0.9938922259098982
431,5.2125484467140484e-05
432,0.00402919620982392
433,3.663175759055647e-05
434,0.9999737966721988
435,1.8974749025228318e-06
436,1.0000000000003388
437,3.010212945150136e-05
438,1.000000000000026
439,0.8933706515511226
440,1.000000003419243
441,0.9999999938663513
442,2.0544642493933973e-05
443,0.2511205531195365
444,1.0522422402178422e-05
445,1.1528076084293099e-05
446,0.9999999999999408
447,1.000000000000168
448,1.0000000078898643
449,0.001794215996187528
450,0.9999497889129715
451,0.9999999999985483
452,8.167457892391831e-06
453,0.9999999999994578
454,0.9648446086637353
455,0.6445809067548144
456,5.997906906126148e-05
457,0.06545140476775886
458,1.358163939783672e-06
459,1.0000000018824529
460,0.9999999999245379
461,0.0006077220780832194
462,3.4223899633284444e-06
463,1.0000000000000546
464,1.000000000000026
465,1.0000000013025363
466,1.3252150881675163e-05
467,1.0000000000219107
468,1.788774799839414e-05
469,0.026972597263657097
470,5.026335457043602e-06
471,0.0025456523376100534
472,0.9999999999777437
473,1.54738852357906e-05
474,0.9999999983944269
475,1.0000000001899967
476,0.0001765089784964657
477,3.307160670276885e-05
478,6.307265955532828e-06
479,1.0000000019365678
480,0.00011898634074047414
481,1.0000000000005376
482,0.9963711202168778
483,2.9296138217530146e-05
484,0.9999975055980279
485,0.9998078673398807
486,3.949179529184435e-05
487,0.00029856891614202225
488,1.5481259326401383e-05
489,6.958251549157476e-06
490,0.00014971978709853317
491,2.1750758683786473e-05
492,0.9999628075897922
493,0.9999062126560753
494,1.0000000000009923
495,0.011906959526325454
496,0.00012401584197903746
497,1.2123619112305385e-05
498,0.0001200621307271199
499,5.523046473213798e-05
500,0.0019735332943405753
501,9.967801189567588e-05
502,2.7039303327345995e-05
503,0.00021351968774171225
504,3.7521013393271445e-05
505,0.003121572377201551
506,2.2942429498820783e-06
507,0.004771902117289234
508,0.789180842779874
509,0.9999999980545886
510,0.0003525879645696592
511,1.0000000000582336
512,1.00000000000014
513,1.0000000000148621
514,0.0001670823574468582
515,1.0000000022934874
516,0.0199135083210576
517,0.002596480015923965
518,0.35043692135380805
519,0.0006544995776296785
520,0.000168764155554231
521,4.120166312774449e-06
522,2.810736734916112e-06
523,0.9935930892811378
524,0.0005345166041481682
525,0.00021086125924397797
526,0.9999999997429234
527,0.00021928722703806584
528,1.0000000000269984
529,0.9998130652105665
530,0.0005160353556120584
531,1.000000006998872
532,2.3979537931291524e-07
533,3.8305025458665646e-05
534,0.9999999999999123
535,1.0000000000110538
